"no_of_adults","no_of_children","no_of_weekend_nights","no_of_week_nights","type_of_meal_plan","required_car_parking_space","room_type_reserved","lead_time","arrival_year","arrival_month","market_segment_type","repeated_guest","no_of_previous_cancellations","no_of_special_requests","booking_status","avg_price_per_room"
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",224,2017,10,"Offline",0,0,0,"Not_Canceled",65
2,0,2,3,"Not Selected",0,"Room_Type 1",5,2018,11,"Online",0,0,1,"Not_Canceled",106.68
1,0,2,1,"Meal Plan 1",0,"Room_Type 1",1,2018,2,"Online",0,0,0,"Canceled",60
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",211,2018,5,"Online",0,0,0,"Canceled",100
2,0,1,1,"Not Selected",0,"Room_Type 1",48,2018,4,"Online",0,0,0,"Canceled",94.5
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",346,2018,9,"Online",0,0,1,"Canceled",115
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",34,2017,10,"Online",0,0,1,"Not_Canceled",107.55
2,0,1,3,"Meal Plan 1",0,"Room_Type 4",83,2018,12,"Online",0,0,1,"Not_Canceled",105.61
3,0,0,4,"Meal Plan 1",0,"Room_Type 1",121,2018,7,"Offline",0,0,1,"Not_Canceled",96.9
2,0,0,5,"Meal Plan 1",0,"Room_Type 4",44,2018,10,"Online",0,0,3,"Not_Canceled",133.44
1,0,1,0,"Not Selected",0,"Room_Type 1",0,2018,9,"Online",0,0,0,"Not_Canceled",85.03
1,0,2,1,"Meal Plan 1",0,"Room_Type 4",35,2018,4,"Online",0,0,1,"Not_Canceled",140.4
2,0,2,1,"Not Selected",0,"Room_Type 1",30,2018,11,"Online",0,0,0,"Canceled",88
1,0,2,0,"Meal Plan 1",0,"Room_Type 1",95,2018,11,"Online",0,0,2,"Canceled",90
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",47,2017,10,"Online",0,0,2,"Not_Canceled",94.5
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",256,2018,6,"Online",0,0,1,"Canceled",115
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",0,2017,10,"Offline",0,0,0,"Not_Canceled",96
2,0,1,3,"Not Selected",0,"Room_Type 1",1,2017,8,"Online",0,0,1,"Not_Canceled",96
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,2017,10,"Online",0,0,0,"Canceled",65
2,0,1,0,"Meal Plan 1",0,"Room_Type 1",12,2017,10,"Offline",0,0,0,"Not_Canceled",72
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,2017,10,"Online",0,0,0,"Canceled",65
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",122,2018,11,"Corporate",0,0,0,"Not_Canceled",67
2,0,2,4,"Meal Plan 1",0,"Room_Type 1",2,2018,3,"Offline",0,0,0,"Not_Canceled",85
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,2018,10,"Offline",0,0,0,"Not_Canceled",105
2,0,2,1,"Not Selected",0,"Room_Type 1",130,2018,5,"Online",0,0,1,"Not_Canceled",94.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",99,2018,4,"Online",0,0,1,"Not_Canceled",114.3
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",60,2017,9,"Offline",0,0,0,"Not_Canceled",65
1,0,0,2,"Meal Plan 1",0,"Room_Type 4",2,2018,5,"Aviation",0,0,0,"Canceled",110
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",37,2017,11,"Online",0,0,0,"Canceled",37.33
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",56,2017,9,"Offline",0,0,0,"Not_Canceled",82
2,0,1,1,"Meal Plan 1",0,"Room_Type 4",3,2017,9,"Online",0,0,1,"Not_Canceled",177.5
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",107,2018,11,"Online",0,0,1,"Not_Canceled",87.5
0,2,0,3,"Meal Plan 1",0,"Room_Type 2",56,2018,12,"Online",0,0,1,"Not_Canceled",82.44
2,0,0,1,"Not Selected",0,"Room_Type 1",2,2018,1,"Online",0,0,1,"Not_Canceled",69.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",72,2018,10,"Offline",0,0,0,"Not_Canceled",85.5
2,0,0,1,"Not Selected",1,"Room_Type 1",23,2018,4,"Online",0,0,1,"Not_Canceled",115
1,0,2,1,"Meal Plan 1",0,"Room_Type 1",34,2018,6,"Online",0,0,0,"Canceled",81
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",289,2017,10,"Offline",0,0,0,"Not_Canceled",67
2,0,2,3,"Not Selected",0,"Room_Type 1",247,2018,11,"Online",0,0,0,"Canceled",63.75
2,0,2,1,"Meal Plan 1",0,"Room_Type 4",186,2018,7,"Online",0,0,1,"Canceled",121.8
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",64,2018,11,"Online",0,0,2,"Not_Canceled",93.6
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",35,2018,6,"Online",0,0,1,"Not_Canceled",102
3,0,2,1,"Meal Plan 1",0,"Room_Type 1",96,2018,4,"Online",0,0,1,"Not_Canceled",121.8
2,0,1,1,"Not Selected",0,"Room_Type 1",41,2018,6,"Online",0,0,1,"Canceled",98.1
2,0,0,4,"Meal Plan 1",0,"Room_Type 4",55,2017,11,"Offline",0,0,1,"Not_Canceled",60
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",146,2017,12,"Offline",0,0,0,"Not_Canceled",75
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",32,2017,11,"Offline",0,0,0,"Not_Canceled",73
2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,2018,4,"Offline",0,0,0,"Not_Canceled",104
2,0,0,4,"Not Selected",0,"Room_Type 1",57,2018,11,"Online",0,0,1,"Not_Canceled",79.2
1,0,1,3,"Meal Plan 1",0,"Room_Type 4",7,2018,12,"Online",0,0,2,"Not_Canceled",125.8
1,0,2,5,"Not Selected",0,"Room_Type 1",124,2018,5,"Online",0,0,0,"Not_Canceled",87.95
2,0,2,2,"Meal Plan 2",0,"Room_Type 1",169,2018,4,"Online",0,0,0,"Canceled",106
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",6,2018,5,"Online",0,0,1,"Not_Canceled",136.67
2,0,0,4,"Meal Plan 1",0,"Room_Type 4",51,2017,11,"Offline",0,0,1,"Not_Canceled",60
2,0,1,0,"Not Selected",0,"Room_Type 1",13,2018,6,"Online",0,0,2,"Not_Canceled",89
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",100,2018,5,"Online",0,0,1,"Not_Canceled",136
2,0,0,1,"Not Selected",0,"Room_Type 1",139,2018,7,"Online",0,0,1,"Not_Canceled",94.5
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",117,2018,12,"Online",0,0,2,"Not_Canceled",93.6
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",39,2018,4,"Online",0,0,0,"Canceled",120.6
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",86,2018,4,"Online",0,0,1,"Not_Canceled",99.3
2,2,0,1,"Meal Plan 1",1,"Room_Type 6",2,2018,9,"Online",0,0,1,"Not_Canceled",258
1,0,0,3,"Meal Plan 1",0,"Room_Type 4",19,2018,5,"Online",0,0,2,"Not_Canceled",120.12
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,2018,6,"Offline",0,0,0,"Not_Canceled",95
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,2017,9,"Complementary",0,0,1,"Not_Canceled",0
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",86,2018,12,"Offline",0,0,0,"Not_Canceled",75
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",30,2018,10,"Online",0,0,2,"Not_Canceled",157.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",179,2018,6,"Online",0,0,1,"Not_Canceled",97.7
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",26,2018,4,"Online",0,0,0,"Canceled",142
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",55,2018,4,"Offline",0,0,0,"Not_Canceled",80
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",74,2018,4,"Online",0,0,1,"Not_Canceled",85.5
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",143,2018,8,"Offline",0,0,0,"Not_Canceled",100
2,0,1,0,"Not Selected",0,"Room_Type 1",34,2018,11,"Online",0,0,2,"Not_Canceled",88
2,0,1,1,"Meal Plan 1",1,"Room_Type 1",30,2018,8,"Online",0,0,1,"Not_Canceled",122.85
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",177,2018,6,"Online",0,0,0,"Canceled",100
2,0,2,3,"Meal Plan 1",0,"Room_Type 4",34,2017,10,"Offline",0,0,0,"Not_Canceled",75
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",18,2018,3,"Online",0,0,1,"Not_Canceled",116.8
3,0,1,1,"Meal Plan 1",0,"Room_Type 4",267,2018,12,"Online",0,0,0,"Not_Canceled",121.5
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",64,2018,6,"Online",0,0,1,"Not_Canceled",111.9
3,0,2,5,"Meal Plan 1",0,"Room_Type 4",155,2018,6,"Online",0,0,2,"Canceled",121.55
2,0,0,5,"Meal Plan 1",0,"Room_Type 1",46,2018,3,"Offline",0,0,1,"Not_Canceled",75
2,2,0,2,"Meal Plan 1",0,"Room_Type 6",83,2018,4,"Online",0,0,0,"Canceled",159.3
2,0,0,5,"Meal Plan 1",0,"Room_Type 4",128,2018,10,"Online",0,0,0,"Canceled",132.3
2,0,2,0,"Not Selected",0,"Room_Type 1",20,2018,12,"Online",0,0,2,"Not_Canceled",88
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",40,2018,3,"Online",0,0,0,"Not_Canceled",98.82
2,0,1,2,"Meal Plan 1",1,"Room_Type 4",46,2018,3,"Online",0,0,1,"Not_Canceled",98.3
1,0,1,0,"Meal Plan 1",0,"Room_Type 1",1,2018,10,"Online",0,0,2,"Not_Canceled",150
2,0,2,3,"Not Selected",0,"Room_Type 1",196,2018,9,"Online",0,0,1,"Not_Canceled",96.05
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",188,2018,6,"Online",0,0,0,"Canceled",130
2,0,0,1,"Not Selected",0,"Room_Type 1",17,2018,12,"Online",1,0,0,"Not_Canceled",95
2,0,0,3,"Meal Plan 1",0,"Room_Type 5",146,2018,8,"Offline",0,0,0,"Not_Canceled",113.56
2,0,1,3,"Not Selected",0,"Room_Type 1",110,2018,5,"Online",0,0,1,"Not_Canceled",101.58
2,0,1,2,"Meal Plan 1",1,"Room_Type 1",68,2018,3,"Online",0,0,0,"Not_Canceled",105.3
2,0,2,1,"Meal Plan 1",0,"Room_Type 4",73,2018,4,"Online",0,0,1,"Not_Canceled",115.8
2,0,0,1,"Meal Plan 1",0,"Room_Type 4",92,2018,5,"Online",0,0,1,"Not_Canceled",149.4
